Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
Card Payment,Current,2024-07-14 22:48:31,2024-07-16 05:06:46,Fresh Estival Activ Srl,-6.00,0.00,RON,COMPLETED,6.83
Transfer,Current,2024-07-18 13:56:08,2024-07-18 13:56:08,Pocket Withdrawal,150.00,0.00,RON,COMPLETED,156.83
Transfer,Current,2024-07-18 17:02:51,2024-07-18 17:02:51,Pocket Withdrawal,140.00,0.00,RON,COMPLETED,296.83
Card Payment,Current,2024-07-18 17:03:02,2024-07-19 07:53:34,Flanco,-139.73,0.00,RON,COMPLETED,157.10
Card Payment,Current,2024-07-18 14:00:47,2024-07-19 15:39:01,Sp Ovf,-147.00,0.00,RON,COMPLETED,10.10
Transfer,Current,2024-07-22 10:09:03,2024-07-22 10:09:03,Pocket Withdrawal,10.00,0.00,RON,COMPLETED,20.10
Transfer,Current,2024-07-22 10:09:09,2024-07-22 10:09:09,Pocket Withdrawal,150.00,0.00,RON,COMPLETED,170.10
Topup,Current,2024-07-22 10:12:11,2024-07-22 10:12:12,Payment from MOLDOVAN MARIAELENA,250.00,0.00,RON,COMPLETED,420.10
Transfer,Current,2024-07-22 19:39:57,2024-07-22 19:39:57,Revolut Bank UAB,-3.00,0.00,RON,COMPLETED,417.10
Card Payment,Current,2024-07-22 10:48:20,2024-07-23 04:43:03,Dinu Auto Total,-400.00,0.00,RON,COMPLETED,17.10
Transfer,Current,2024-07-26 21:23:28,2024-07-26 21:23:28,Pocket Withdrawal,100.00,0.00,RON,COMPLETED,117.10
Card Payment,Current,2024-07-26 21:23:49,2024-07-27 15:12:49,Superbet,-112.25,0.00,RON,COMPLETED,4.85
Transfer,Current,2024-07-27 19:37:45,2024-07-27 19:37:45,Pocket Withdrawal,50.00,0.00,RON,COMPLETED,54.85
Card Payment,Current,2024-07-27 23:08:20,2024-07-29 17:28:08,Profi,-3.49,0.00,RON,COMPLETED,51.36
Card Payment,Current,2024-07-27 23:10:34,2024-07-30 04:54:41,Metrorex,-3.00,0.00,RON,COMPLETED,48.36
Card Payment,Current,2024-07-30 17:41:21,2024-07-31 04:42:22,MM Partners Pub,-45.00,0.00,RON,COMPLETED,3.36
Transfer,Current,2024-08-02 20:24:05,2024-08-02 20:24:05,Revolut Bank UAB,14.00,0.00,RON,COMPLETED,17.36
Card Payment,Current,2024-08-03 21:17:44,2024-08-04 07:49:37,MM Partners Pub,-13.50,0.00,RON,COMPLETED,3.86
Transfer,Current,2024-08-04 20:52:11,2024-08-04 20:52:11,Revolut Bank UAB,5.00,0.00,RON,COMPLETED,8.86
Transfer,Current,2024-08-04 21:49:53,2024-08-04 21:49:53,Revolut Bank UAB,6.00,0.00,RON,COMPLETED,14.86
Card Payment,Current,2024-08-04 21:52:30,2024-08-05 16:41:10,Altfel,-14.00,0.00,RON,COMPLETED,0.86
Transfer,Current,2024-08-10 18:43:00,2024-08-10 18:43:00,Revolut Bank UAB,26.00,0.00,RON,COMPLETED,26.86
Card Payment,Current,2024-08-14 14:47:04,2024-08-15 14:50:43,Uber,-22.70,0.00,RON,COMPLETED,4.16
Card Payment,Current,2024-08-14 14:39:37,2024-08-15 16:11:40,Imperiul Festinului,-4.00,0.00,RON,COMPLETED,0.16
Transfer,Current,2024-08-20 22:18:21,2024-08-20 22:18:21,Revolut Bank UAB,110.00,0.00,RON,COMPLETED,110.16
Card Payment,Current,2024-08-20 22:20:22,2024-08-21 17:17:04,CFR Călători,-103.50,0.00,RON,COMPLETED,6.66
Transfer,Current,2024-08-30 17:57:53,2024-08-30 17:57:53,Revolut Bank UAB,27.24,0.00,RON,COMPLETED,33.90
Transfer,Current,2024-08-31 15:21:10,2024-08-31 15:21:10,Revolut Bank UAB,-33.90,0.00,RON,COMPLETED,0.00
Transfer,Current,2024-09-03 14:43:56,2024-09-03 14:43:56,Revolut Bank UAB,5.00,0.00,RON,COMPLETED,5.00
Transfer,Current,2024-09-03 14:48:42,2024-09-03 14:48:42,Revolut Bank UAB,95.00,0.00,RON,COMPLETED,100.00
Transfer,Current,2024-09-03 16:49:25,2024-09-03 16:49:25,Revolut Bank UAB,100.00,0.00,RON,COMPLETED,200.00
Transfer,Current,2024-09-03 16:51:46,2024-09-03 16:53:11,To Bomboe Alexandru,-200.00,0.00,RON,COMPLETED,0.00
Transfer,Current,2024-09-07 15:34:35,2024-09-07 15:34:36,Revolut Bank UAB,23.00,0.00,RON,COMPLETED,23.00
Transfer,Current,2024-09-07 15:34:40,2024-09-07 15:34:40,Revolut Bank UAB,23.00,0.00,RON,COMPLETED,46.00
Transfer,Current,2024-09-07 21:02:40,2024-09-07 21:02:40,Revolut Bank UAB,-20.00,0.00,RON,COMPLETED,26.00
Topup,Current,2024-09-07 21:03:24,2024-09-07 21:03:25,Payment from VLAD COSTIN BOMBOE,10.00,0.00,RON,COMPLETED,36.00
Transfer,Current,2024-09-09 11:48:39,2024-09-09 11:48:39,Revolut Bank UAB,7.80,0.00,RON,COMPLETED,43.80
Transfer,Current,2024-09-09 12:59:31,2024-09-09 12:59:32,Revolut Bank UAB,7.00,0.00,RON,COMPLETED,50.80
Transfer,Current,2024-09-09 12:59:46,2024-09-09 12:59:46,Revolut Bank UAB,7.00,0.00,RON,COMPLETED,57.80
Card Payment,Current,2024-09-08 02:35:23,2024-09-09 15:54:04,Market Summer,-26.00,0.00,RON,COMPLETED,31.80
Transfer,Current,2024-09-09 21:59:56,2024-09-09 21:59:56,Revolut Bank UAB,808.10,0.00,RON,COMPLETED,839.90
Transfer,Current,2024-09-09 22:00:50,2024-09-09 22:00:50,To pocket RON iexamen from RON,-300.00,0.00,RON,COMPLETED,539.90
Transfer,Current,2024-09-10 10:22:50,2024-09-10 10:22:50,Revolut Bank UAB,-22.00,0.00,RON,COMPLETED,517.90
Transfer,Current,2024-09-10 10:26:25,2024-09-10 10:26:25,Revolut Bank UAB,22.00,0.00,RON,COMPLETED,539.90
Transfer,Current,2024-09-10 11:32:25,2024-09-10 11:32:25,Revolut Bank UAB,-22.00,0.00,RON,COMPLETED,517.90
Transfer,Current,2024-09-10 11:49:56,2024-09-10 11:49:57,Revolut Bank UAB,-12.00,0.00,RON,COMPLETED,505.90
Card Payment,Current,2024-09-10 18:48:04,2024-09-11 07:43:54,Carrefour,-31.86,0.00,RON,COMPLETED,474.04
Card Payment,Current,2024-09-10 18:02:10,2024-09-11 07:44:19,McDonald's,-37.00,0.00,RON,COMPLETED,437.04
Transfer,Current,2024-09-11 09:40:58,2024-09-11 09:40:58,Revolut Bank UAB,-5.00,0.00,RON,COMPLETED,432.04
Card Payment,Current,2024-09-10 19:15:24,2024-09-11 14:33:59,Uber,-17.52,0.00,RON,COMPLETED,414.52
Card Payment,Current,2024-09-11 13:34:25,2024-09-12 07:30:31,Mega Image,-7.49,0.00,RON,COMPLETED,407.03
Card Payment,Current,2024-09-11 08:03:50,2024-09-12 07:30:48,Mega Image,-29.19,0.00,RON,COMPLETED,377.84
Transfer,Current,2024-09-12 18:42:03,2024-09-12 18:42:03,Revolut Bank UAB,-0.25,0.00,RON,COMPLETED,377.59
Topup,Current,2024-09-12 18:42:29,2024-09-12 18:42:30,Apple Pay top-up by *1781,880.00,0.00,RON,COMPLETED,1257.59
Card Payment,Current,2024-09-12 12:31:23,2024-09-13 07:43:59,Mega Image,-47.00,0.00,RON,COMPLETED,1210.59
Card Payment,Current,2024-09-12 11:32:38,2024-09-13 07:44:01,Mega Image,-6.89,0.00,RON,COMPLETED,1203.70
Transfer,Current,2024-09-13 15:28:07,2024-09-13 15:28:07,Revolut Bank UAB,-60.00,0.00,RON,COMPLETED,1143.70
Card Payment,Current,2024-09-13 14:08:40,2024-09-14 04:49:28,Bolt,-5.94,0.00,RON,COMPLETED,1137.76
Card Payment,Current,2024-09-13 08:02:15,2024-09-14 07:36:32,Mega Image,-7.28,0.00,RON,COMPLETED,1130.48
Card Payment,Current,2024-09-13 10:18:52,2024-09-14 07:36:37,Mega Image,-6.49,0.00,RON,COMPLETED,1123.99
Card Payment,Current,2024-09-13 13:39:06,2024-09-14 07:36:40,Mega Image,-21.77,0.00,RON,COMPLETED,1102.22
Card Payment,Current,2024-09-13 22:11:43,2024-09-14 07:36:50,Mega Image,-7.98,0.00,RON,COMPLETED,1094.24
Card Payment,Current,2024-09-13 16:05:20,2024-09-14 07:37:07,Mega Image,-7.38,0.00,RON,COMPLETED,1086.86
Card Payment,Current,2024-09-13 20:22:19,2024-09-14 07:38:00,Integrate Lobby Sol Sr,-24.00,0.00,RON,COMPLETED,1062.86
Card Payment,Current,2024-09-13 10:21:52,2024-09-14 07:40:02,Ali Com Orient,-22.00,0.00,RON,COMPLETED,1040.86
Card Payment,Current,2024-09-13 19:56:47,2024-09-14 07:40:38,McDonald's,-21.00,0.00,RON,COMPLETED,1019.86
Card Payment,Current,2024-09-13 23:14:50,2024-09-14 14:48:05,Uber,-10.10,0.00,RON,COMPLETED,1009.76
Card Payment,Current,2024-09-13 08:05:42,2024-09-14 18:26:13,Multimat Mihalache,-14.00,0.00,RON,COMPLETED,995.76
Card Payment,Current,2024-09-14 13:53:03,2024-09-15 07:29:25,Curcubeului Market,-22.00,0.00,RON,COMPLETED,973.76
Card Payment,Current,2024-09-14 13:43:50,2024-09-15 18:10:36,eMAG,-69.99,0.00,RON,COMPLETED,903.77
Card Payment,Current,2024-09-15 19:27:02,,Uber,-13.09,0.00,RON,REVERTED,
Card Payment,Current,2024-09-15 09:09:57,2024-09-16 04:31:32,Pizza Luca,-9.49,0.00,RON,COMPLETED,894.28
Card Payment,Current,2024-09-15 19:35:29,2024-09-16 14:19:58,Uber,-17.85,0.00,RON,COMPLETED,876.43
Card Payment,Current,2024-09-15 19:21:15,2024-09-16 15:06:32,OMV,-31.49,0.00,RON,COMPLETED,844.94
Card Payment,Current,2024-09-16 07:29:55,2024-09-17 07:35:23,Mega Image,-3.39,0.00,RON,COMPLETED,841.55
Card Payment,Current,2024-09-16 10:09:33,2024-09-17 07:35:24,Mega Image,-37.78,0.00,RON,COMPLETED,803.77
Card Payment,Current,2024-09-16 06:15:11,2024-09-17 14:36:30,MOL,-22.00,0.00,RON,COMPLETED,781.77
Card Payment,Current,2024-09-16 19:31:05,2024-09-17 17:21:14,eMAG,-84.45,0.00,RON,COMPLETED,697.32
Transfer,Current,2024-09-18 16:50:30,2024-09-18 16:50:30,Revolut Bank UAB,100.00,0.00,RON,COMPLETED,797.32
Card Payment,Current,2024-09-17 18:07:59,2024-09-18 17:27:21,Metrorex,-3.00,0.00,RON,COMPLETED,794.32
Card Payment,Current,2024-09-17 17:17:14,2024-09-19 04:37:59,Il Maestro,-8.00,0.00,RON,COMPLETED,786.32
Card Payment,Current,2024-09-18 14:09:47,2024-09-19 07:46:04,Prăvălia cu Licori,-20.00,0.00,RON,COMPLETED,766.32
Topup,Current,2024-09-19 14:37:17,2024-09-19 14:37:17,Payment from TOADER LUCIAN MOLDOVAN,100.00,0.00,RON,COMPLETED,866.32
Card Payment,Current,2024-09-18 16:41:42,2024-09-19 17:13:08,Dr.Max,-69.99,0.00,RON,COMPLETED,796.33
Card Payment,Current,2024-09-19 12:59:09,2024-09-20 07:44:11,Mega Image,-5.29,0.00,RON,COMPLETED,791.04
Card Payment,Current,2024-09-19 12:55:02,2024-09-20 07:48:07,Orient Shaorma,-25.00,0.00,RON,COMPLETED,766.04
Card Payment,Current,2024-09-20 07:58:43,,Uber,-13.73,0.00,RON,REVERTED,
Transfer,Current,2024-09-20 11:33:04,2024-09-20 11:33:04,Revolut Bank UAB,-2.00,0.00,RON,COMPLETED,764.04
Topup,Current,2024-09-20 11:51:32,2024-09-20 11:51:33,Apple Pay top-up by *1781,300.00,0.00,RON,COMPLETED,1064.04
Transfer,Current,2024-09-20 11:52:09,2024-09-20 11:52:09,Revolut Bank UAB,-150.00,0.00,RON,COMPLETED,914.04
Transfer,Current,2024-09-20 19:54:11,2024-09-20 19:54:11,Revolut Bank UAB,-10.00,0.00,RON,COMPLETED,904.04
Card Payment,Current,2024-09-20 11:36:38,2024-09-21 17:12:38,Nova prompt,-5.00,0.00,RON,COMPLETED,899.04
Card Payment,Current,2024-09-21 13:49:25,2024-09-22 07:52:02,MM Partners Pub,-3.20,0.00,RON,COMPLETED,895.84
Card Payment,Current,2024-09-21 17:46:25,2024-09-22 18:16:14,eMAG,-688.00,0.00,RON,COMPLETED,207.84
Card Payment,Current,2024-09-21 20:03:28,2024-09-22 18:17:05,Profi,-34.20,0.00,RON,COMPLETED,173.64
Card Payment,Current,2024-09-23 11:26:56,2024-09-24 07:37:47,Mega Image,-3.99,0.00,RON,COMPLETED,169.65
Card Payment,Current,2024-09-23 08:39:22,2024-09-24 07:37:54,Mega Image,-2.99,0.00,RON,COMPLETED,166.66
Card Payment,Current,2024-09-23 11:59:13,2024-09-24 07:38:22,Mega Image,-7.00,0.00,RON,COMPLETED,159.66
Card Payment,Current,2024-09-24 10:30:23,2024-09-25 07:35:57,Mega Image,-6.79,0.00,RON,COMPLETED,152.87
Card Payment,Current,2024-09-24 07:52:36,2024-09-25 15:13:19,Cora,-4.00,0.00,RON,COMPLETED,148.87
Transfer,Current,2024-09-26 07:42:21,2024-09-26 07:42:21,Pocket Withdrawal,12.00,0.00,RON,COMPLETED,160.87
Transfer,Current,2024-09-26 07:43:12,2024-09-26 07:43:12,Revolut Bank UAB,-160.00,0.00,RON,COMPLETED,0.87
Transfer,Current,2024-09-27 20:10:25,2024-09-27 20:10:25,Revolut Bank UAB,8.00,0.00,RON,COMPLETED,8.87
Card Payment,Current,2024-09-28 10:26:58,2024-10-01 06:58:27,Metrorex,-3.00,0.00,RON,COMPLETED,5.87
Transfer,Current,2024-10-01 07:31:51,2024-10-01 07:31:51,Revolut Bank UAB,22.00,0.00,RON,COMPLETED,27.87
Transfer,Current,2024-10-03 07:54:51,2024-10-03 07:54:51,Revolut Bank UAB,16.00,0.00,RON,COMPLETED,43.87
Transfer,Current,2024-10-03 08:21:13,2024-10-03 08:21:13,Revolut Bank UAB,22.00,0.00,RON,COMPLETED,65.87
Transfer,Current,2024-10-03 10:46:14,2024-10-03 10:46:14,Pocket Withdrawal,288.00,0.00,RON,COMPLETED,353.87
Transfer,Current,2024-10-03 10:47:17,2024-10-03 10:49:04,To Razvan Mihai Pica,-250.00,0.00,RON,COMPLETED,103.87
Topup,Current,2024-10-05 18:17:05,2024-10-05 18:17:06,Apple Pay top-up by *1781,160.00,0.00,RON,COMPLETED,263.87
Transfer,Current,2024-10-05 18:18:24,2024-10-05 18:18:26,Revolut Bank UAB,-160.00,0.00,RON,COMPLETED,103.87
Topup,Current,2024-10-06 10:10:20,2024-10-06 10:10:21,Apple Pay top-up by *1781,160.00,0.00,RON,COMPLETED,263.87
Transfer,Current,2024-10-06 10:10:36,2024-10-06 10:10:36,Revolut Bank UAB,-160.00,0.00,RON,COMPLETED,103.87
Card Payment,Current,2024-10-05 21:16:42,2024-10-06 16:22:38,Altfel,-32.00,0.00,RON,COMPLETED,71.87
Card Payment,Current,2024-10-05 19:51:33,2024-10-06 20:34:40,Chopstix,-23.99,0.00,RON,COMPLETED,47.88
Card Payment,Current,2024-10-06 16:44:09,2024-10-07 08:52:13,Curcubeului Market,-22.00,0.00,RON,COMPLETED,25.88
Card Payment,Current,2024-10-07 12:30:21,2024-10-08 17:34:42,Profi,-12.88,0.00,RON,COMPLETED,13.00
Transfer,Current,2024-10-10 08:05:58,2024-10-10 08:05:58,Revolut Bank UAB,26.00,0.00,RON,COMPLETED,39.00
Transfer,Current,2024-10-10 12:21:00,2024-10-10 12:21:00,Revolut Bank UAB,5.00,0.00,RON,COMPLETED,44.00
Transfer,Current,2024-10-10 12:25:12,2024-10-10 12:25:12,Revolut Bank UAB,10.00,0.00,RON,COMPLETED,54.00
Card Payment,Current,2024-10-09 14:17:20,2024-10-10 17:24:29,PENNY,-6.99,0.00,RON,COMPLETED,47.01
Topup,Current,2024-10-12 19:06:53,2024-10-12 19:06:55,Apple Pay top-up by *1781,160.00,0.00,RON,COMPLETED,207.01
Transfer,Current,2024-10-12 19:07:59,2024-10-12 19:07:59,Revolut Bank UAB,-160.00,0.00,RON,COMPLETED,47.01
Card Payment,Current,2024-10-13 09:18:09,2024-10-13 14:38:52,Bolt,-11.90,0.00,RON,COMPLETED,35.11
Card Payment,Current,2024-10-13 08:53:13,2024-10-13 14:38:56,Bolt,-12.40,0.00,RON,COMPLETED,22.71
Transfer,Current,2024-10-14 09:31:34,2024-10-14 09:31:34,Revolut Bank UAB,8.00,0.00,RON,COMPLETED,30.71
Transfer,Current,2024-10-14 10:20:12,2024-10-14 10:20:12,Revolut Bank UAB,-8.00,0.00,RON,COMPLETED,22.71
Transfer,Current,2024-10-14 10:28:04,2024-10-14 10:28:05,Revolut Bank UAB,-11.00,0.00,RON,COMPLETED,11.71
Card Payment,Current,2024-10-13 09:45:02,2024-10-15 06:06:40,Metrorex,-3.00,0.00,RON,COMPLETED,8.71
Card Payment,Current,2024-10-13 09:44:26,2024-10-15 06:06:46,Metrorex,-3.00,0.00,RON,COMPLETED,5.71
Transfer,Current,2024-10-15 11:26:40,2024-10-15 11:26:41,Revolut Bank UAB,22.00,0.00,RON,COMPLETED,27.71
